"filename", "language", "Markdown", "LaTeX", "Log", "Python", "C++", "Django HTML", "C", "Django txt", "CSS", "comment", "blank", "total"
"c:\VScode\CPP.code\LuoGuuu.cpp", "C++", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
"c:\VScode\CPP.code\TOOLman.cpp", "C++", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 5, 41
"c:\VScode\CPP.code\Temp.cpp", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\VScode\CPP.code\Test.c", "C", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 1, 38
"c:\VScode\CPP.code\cyy.cpp", "C++", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 2, 35
"c:\VScode\CPP.code\input.txt", "Django txt", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\VScode\CPP.code\led-1.cpp", "C++", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"c:\VScode\CPP.code\output.txt", "Django txt", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\VScode\HTML\CSS\bili.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 196, 20, 27, 243
"c:\VScode\HTML\CSS\sample.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 145, 13, 12, 170
"c:\VScode\HTML\HTML.note.md", "Markdown", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 117
"c:\VScode\HTML\bilibili.html", "Django HTML", 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 15, 118
"c:\VScode\HTML\sample.html", "Django HTML", 0, 0, 0, 0, 0, 227, 0, 0, 0, 0, 23, 250
"c:\VScode\Items\Regex\ans.txt", "Django txt", 0, 0, 0, 0, 0, 0, 0, 300, 0, 0, 1, 301
"c:\VScode\Items\Regex\input.txt", "Django txt", 0, 0, 0, 0, 0, 0, 0, 316, 0, 0, 1, 317
"c:\VScode\Items\Regex\regex.cpp", "C++", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 2, 26
"c:\VScode\Items\XOOOX.cpp", "C++", 0, 0, 0, 0, 166, 0, 0, 0, 0, 13, 5, 184
"c:\VScode\Items\accounts.cpp", "C++", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\VScode\Latex\tese.log", "Log", 0, 0, 283, 0, 0, 0, 0, 0, 0, 0, 13, 296
"c:\VScode\Latex\tese.tex", "LaTeX", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\VScode\Python\pyyy1.py", "Python", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\VScode\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\VScode\cpp.note\DP.md", "Markdown", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 79
"c:\VScode\cpp.note\DataStructure.md", "Markdown", 234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 323
"c:\VScode\cpp.note\Math.md", "Markdown", 228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 269
"c:\VScode\cpp.note\Search.md", "Markdown", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 80
"c:\VScode\cpp.note\Sort.md", "Markdown", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\VScode\cpp.note\String.md", "Markdown", 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 194
"c:\VScode\cpp.note\main.md", "Markdown", 286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 348
"c:\VScode\cpp.note\miao.md", "Markdown", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 68
"Total", "-", 1223, 4, 283, 1, 334, 330, 37, 618, 341, 46, 411, 3628
