"filename", "language", "C++", "PHP", "Markdown", "Python", "JavaScript", "XML", "C", "HTML", "Ini", "CSS", "LaTeX", "Java", "SQL", "Log", "C#", "JSON", "Properties", "Django HTML", "Django txt", "comment", "blank", "total"
"c:\VScode\C#\program\C#.csproj", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\VScode\C#\program\Program.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\VScode\C#\program\bin\Debug\net6.0\C#.deps.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 23
"c:\VScode\C#\program\bin\Debug\net6.0\C#.runtimeconfig.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"c:\VScode\C#\program\obj\C#.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 60
"c:\VScode\C#\program\obj\C#.csproj.nuget.g.props", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\VScode\C#\program\obj\C#.csproj.nuget.g.targets", "XML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\VScode\C#\program\obj\Debug\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 1, 5
"c:\VScode\C#\program\obj\Debug\net6.0\C#.AssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 10, 5, 24
"c:\VScode\C#\program\obj\Debug\net6.0\C#.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 0, 11
"c:\VScode\C#\program\obj\Debug\net6.0\C#.GlobalUsings.g.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 1, 9
"c:\VScode\C#\program\obj\project.assets.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 65
"c:\VScode\CPP.code\LuoGuuu.cpp", "C++", -29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -32
"c:\VScode\CPP.code\TOOLman.cpp", "C++", -36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -41
"c:\VScode\CPP.code\Temp.cpp", "C++", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -7
