"filename", "language", "Markdown", "Python", "JavaScript", "Java", "SQL", "CSS", "HTML", "PHP", "XML", "LaTeX", "C++", "Log", "comment", "blank", "total"
"c:\VScode\.idea\VScode.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\VScode\.idea\dataSources.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"c:\VScode\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 59
"c:\VScode\.idea\jsLibraryMappings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\VScode\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\VScode\.idea\php.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\VScode\.idea\sqldialects.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\VScode\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\VScode\CPP\Circle.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, 0, -1, -5, -31
"c:\VScode\CPP\Class.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -31, 0, -23, -7, -61
"c:\VScode\CPP\CodeForces.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -40, 0, 0, -6, -46
"c:\VScode\CPP\LuoGuuu.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, -1, -16
"c:\VScode\CPP\ShitCode.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1150, 0, 94, 134, 1378
"c:\VScode\CPP\Temp.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, -1, 12, 98
"c:\VScode\CPP\cyy.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, 0, -1, -3, -29
