"filename", "language", "Markdown", "Python", "XML", "JavaScript", "C++", "Java", "SQL", "CSS", "HTML", "C#", "Makefile", "PHP", "JSON", "Properties", "LaTeX", "C", "comment", "blank", "total"
"c:\VScode\.idea\VScode.iml", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\VScode\.idea\dataSources.xml", "XML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\VScode\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59
"c:\VScode\.idea\jsLibraryMappings.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\VScode\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\VScode\.idea\php.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\VScode\.idea\sqldialects.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\VScode\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\VScode\C#\Hello\Hello.csproj", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\VScode\C#\Hello\Program.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\VScode\C#\Hello\bin\Debug\net6.0\Hello.deps.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 23
"c:\VScode\C#\Hello\bin\Debug\net6.0\Hello.runtimeconfig.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"c:\VScode\C#\Hello\obj\Debug\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 5
"c:\VScode\C#\Hello\obj\Debug\net6.0\Hello.AssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 5, 23
"c:\VScode\C#\Hello\obj\Debug\net6.0\Hello.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 0, 11
"c:\VScode\C#\Hello\obj\Debug\net6.0\Hello.GlobalUsings.g.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 1, 9
"c:\VScode\C#\Hello\obj\Hello.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 62
"c:\VScode\C#\Hello\obj\Hello.csproj.nuget.g.props", "XML", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\VScode\C#\Hello\obj\Hello.csproj.nuget.g.targets", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\VScode\C#\Hello\obj\project.assets.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 67
"c:\VScode\CPP\LuoGuuu.cpp", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\VScode\CPP\ShitCode.cpp", "C++", 0, 0, 0, 0, 1150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 134, 1378
"c:\VScode\CPP\Temp.cpp", "C++", 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 127
"c:\VScode\CPP\Test.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 12
"c:\VScode\CPP\Untitled-1.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\VScode\DataBase\HZUwork.sql", "SQL", 0, 0, 0, 0, 0, 0, 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 15, 338
"c:\VScode\DataBase\fish_work.sql", "SQL", 0, 0, 0, 0, 0, 0, 432, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 94, 573
"c:\VScode\Items\BaseTransfrom\funclass.hpp", "C++", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 9, 88
"c:\VScode\Items\BaseTransfrom\main.cpp", "C++", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\VScode\Items\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 6, 19
"c:\VScode\Items\Regex\regex.cpp", "C++", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"c:\VScode\Items\WebSite\Learn2Try\00_ExpandingCards\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\VScode\Items\WebSite\Learn2Try\00_ExpandingCards\script.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\VScode\Items\WebSite\Learn2Try\00_ExpandingCards\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 61
"c:\VScode\Items\WebSite\Learn2Try\01_Progress\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\VScode\Items\WebSite\Learn2Try\01_Progress\script.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 42
"c:\VScode\Items\WebSite\Learn2Try\01_Progress\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 91
"c:\VScode\Items\WebSite\Learn2Try\Readme.md", "Markdown", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\VScode\Items\WebSite\Learn2Try\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 71
"c:\VScode\Items\WebSite\Learn2Try\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\VScode\Items\WebSite\bili\bili.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 472, 0, 0, 0, 0, 0, 0, 0, 0, 37, 85, 594
"c:\VScode\Items\WebSite\bili\bili.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 31
"c:\VScode\Items\WebSite\bili\img\1.svg", "XML", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\VScode\Items\WebSite\bili\img\bili-logo.svg", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\VScode\Items\WebSite\bili\img\bp-svg-icon.eb35343a.svg", "XML", 0, 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 236
"c:\VScode\Items\WebSite\bili\img\like.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\VScode\Items\WebSite\bili\img\search.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\VScode\Items\WebSite\bili\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 259, 0, 0, 0, 0, 0, 0, 0, 2, 11, 272
"c:\VScode\Items\WebSite\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 72
"c:\VScode\Items\WebSite\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\VScode\Java\Date.class", "Java", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\VScode\Java\Date.java", "Java", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\VScode\Java\temp.class", "Java", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\VScode\Java\temp.java", "Java", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\VScode\LaTeX\tese\tese.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"c:\VScode\Notes\Algorithm\DP.md", "Markdown", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 78
"c:\VScode\Notes\Algorithm\Main.md", "Markdown", 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 163
"c:\VScode\Notes\Algorithm\Math.md", "Markdown", 366, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 450
